Measure Time,Cuv. No.,Point,Check,SD: 340,SD: 380,SD: 410,SD: 450,SD: 480,SD: 520,SD: 540,SD: 570,SD: 600,SD: 660,SD: 700,SD: 750,SD: 800,OD: 340,OD: 380,OD: 410,OD: 450,OD: 480,OD: 520,OD: 540,OD: 570,OD: 600,OD: 660,OD: 700,OD: 750,OD: 800,
2026/05/15 09:06:09,7,Pw2,1,6428,12807,11587,10501,12701,12214,11316,10258,9541,12848,11167,17790,19782,1.3678,0.9461,0.8976,0.8863,0.7234,0.7059,0.7669,0.842,0.9086,0.7172,0.6779,0.4994,0.4664,Measure
2026/05/15 09:06:09,6,Pw3,1,3775,7282,4702,2824,2861,1972,1654,1458,1368,1848,857,2943,3588,1.3574,0.9379,0.8901,0.8786,0.7156,0.6983,0.7594,0.8346,0.9013,0.7095,0.6701,0.4917,0.4582,Measure
2026/05/15 09:06:09,5,Pw4,1,2818,4505,2234,851,919,685,611,585,767,1226,641,2866,3943,1.3752,0.951,0.9015,0.8894,0.7258,0.7077,0.7684,0.8432,0.9096,0.7172,0.6774,0.4989,0.465,Measure
2026/05/15 09:06:09,4,Pw5,1,4188,7981,5435,3681,4024,3232,2942,2441,2407,3187,1815,4652,5572,1.3599,0.9369,0.8888,0.878,0.7152,0.6979,0.759,0.8342,0.9009,0.7093,0.6702,0.4918,0.4583,Measure
2026/05/15 09:06:09,3,Pw6,1,3922,8292,5948,3973,4256,3303,2918,2360,2199,2887,1571,3989,4859,1.3696,0.9447,0.8961,0.8845,0.721,0.7032,0.764,0.8388,0.9052,0.7128,0.6734,0.4945,0.4606,Measure
2026/05/15 09:06:09,2,Pw7,1,5714,6620,2917,2014,3302,4900,5168,5488,5705,6796,8250,9262,9647,1.3635,0.9425,0.895,0.8835,0.7202,0.7029,0.764,0.8392,0.9058,0.7132,0.6738,0.495,0.4612,Measure
2026/05/15 09:06:18,9,Pw1,1,2003,3802,2021,1455,1693,1745,1575,1394,1188,1209,1699,1562,2060,1.3633,0.9435,0.8956,0.8836,0.7204,0.7029,0.764,0.8392,0.9058,0.7136,0.6741,0.4955,0.4625,Measure
2026/05/15 09:06:18,8,Pw2,1,6130,11159,9680,8433,9775,9155,8474,7710,7221,8999,8391,11759,12725,1.3555,0.9377,0.8905,0.8797,0.717,0.7,0.7612,0.8366,0.9033,0.7118,0.6727,0.494,0.461,Measure
2026/05/15 09:06:18,7,Pw3,1,5091,10026,8317,7338,9205,8901,8302,7585,7162,9912,8290,14244,16060,1.3652,0.9431,0.8944,0.883,0.72,0.7025,0.7634,0.8386,0.9052,0.7137,0.6743,0.4962,0.4627,Measure
2026/05/15 09:06:18,6,Pw4,1,3808,7156,4694,2793,2818,1991,1697,1438,1441,1850,862,2901,3562,1.3579,0.9382,0.8903,0.8788,0.7158,0.6985,0.7596,0.8348,0.9015,0.7096,0.6702,0.4919,0.4583,Measure
2026/05/15 09:06:18,5,Pw5,1,2905,4349,2251,889,930,592,576,576,764,1272,518,2775,4011,1.3754,0.9511,0.9015,0.8894,0.7258,0.7077,0.7684,0.8432,0.9096,0.7172,0.6773,0.4989,0.465,Measure
2026/05/15 09:06:18,4,Pw6,1,4333,7918,5412,3765,4092,3322,2956,2613,2412,3309,1923,4839,5817,1.3601,0.937,0.8889,0.8781,0.7153,0.6979,0.759,0.8341,0.901,0.7093,0.6702,0.4919,0.4583,Measure
2026/05/15 09:06:18,3,Pw7,1,3765,8161,5948,4016,4257,3395,2961,2554,2351,3051,1750,4152,4956,1.3691,0.9442,0.8957,0.8842,0.7208,0.703,0.7638,0.8386,0.905,0.7126,0.6732,0.4943,0.4604,Measure
2026/05/15 09:06:27,10,Pw1,1,861,1635,2717,4475,6041,7082,6652,6064,5456,6473,7475,7619,7132,1.3754,0.9519,0.9032,0.8917,0.7284,0.7105,0.7713,0.8464,0.913,0.721,0.6815,0.5028,0.4696,Measure
2026/05/15 09:06:27,9,Pw2,1,3880,7101,4964,3050,3376,2814,2519,2280,2130,2927,1857,4260,5119,1.365,0.9451,0.8975,0.8857,0.7225,0.7052,0.7663,0.8415,0.9081,0.716,0.6765,0.4978,0.4648,Measure
2026/05/15 09:06:27,8,Pw3,1,4531,7684,5280,3545,3707,2923,2571,2209,1967,2767,1553,3950,4880,1.3514,0.9332,0.886,0.8751,0.7124,0.6954,0.7566,0.8319,0.8988,0.7071,0.668,0.4896,0.4561,Measure
2026/05/15 09:06:27,7,Pw4,1,4885,9969,8425,7391,9192,8832,8297,7542,7102,10035,8250,14163,16099,1.3656,0.9433,0.8947,0.8832,0.7202,0.7026,0.7636,0.8387,0.9054,0.7139,0.6744,0.4965,0.4629,Measure
2026/05/15 09:06:27,6,Pw5,1,3954,7130,4626,2791,2978,2053,1793,1442,1461,1965,927,3116,3737,1.3579,0.9381,0.8903,0.8788,0.7158,0.6985,0.7596,0.8348,0.9015,0.7096,0.6702,0.4919,0.4583,Measure
2026/05/15 09:06:27,5,Pw6,1,2918,4517,2282,949,957,643,599,607,844,1387,568,2833,4026,1.3755,0.9511,0.9015,0.8894,0.7257,0.7076,0.7683,0.8431,0.9094,0.7171,0.6772,0.4988,0.4649,Measure
2026/05/15 09:06:27,4,Pw7,1,3760,7411,5094,3379,3787,3146,2756,2348,2208,3036,1651,4543,5324,1.3592,0.9363,0.8884,0.8777,0.7149,0.6976,0.7587,0.8339,0.9007,0.709,0.67,0.4915,0.458,Measure
2026/05/15 09:06:36,11,Pw1,1,1619,3035,1348,1002,1171,1494,1417,1431,1318,1477,1997,2160,2418,1.3572,0.9388,0.8913,0.8802,0.7175,0.7006,0.7618,0.8372,0.9041,0.7125,0.6732,0.4948,0.4618,Measure
2026/05/15 09:06:36,10,Pw2,1,1691,3172,1285,2015,2545,2904,2704,2321,2043,2070,2831,1774,1768,1.3702,0.9467,0.898,0.8867,0.7234,0.7057,0.7665,0.8415,0.908,0.716,0.6766,0.4977,0.4644,Measure
2026/05/15 09:06:36,9,Pw3,1,3399,5594,3008,1297,1350,1087,1043,942,828,1029,1388,1643,2286,1.3612,0.941,0.8932,0.8813,0.718,0.7005,0.7616,0.8367,0.9033,0.7111,0.6716,0.4931,0.4596,Measure
2026/05/15 09:06:36,8,Pw4,1,4339,7697,5263,3513,3725,2892,2511,2135,2011,2642,1467,3901,4803,1.352,0.9335,0.8863,0.8753,0.7126,0.6956,0.7567,0.8321,0.8989,0.7073,0.6681,0.4898,0.4563,Measure
2026/05/15 09:06:36,7,Pw5,1,4808,10128,8332,7289,9084,8725,8040,7384,6899,9670,8006,13906,15746,1.3655,0.943,0.8944,0.883,0.7201,0.7025,0.7635,0.8386,0.9052,0.7137,0.6743,0.4963,0.4627,Measure
2026/05/15 09:06:36,6,Pw6,1,3887,7073,4671,2816,2858,1987,1788,1437,1389,1831,884,2932,3739,1.358,0.9381,0.8903,0.8788,0.7158,0.6985,0.7596,0.8348,0.9015,0.7096,0.6702,0.4919,0.4583,Measure
2026/05/15 09:06:36,5,Pw7,1,2731,4519,2205,855,985,696,663,672,771,1386,486,2951,4095,1.3749,0.9507,0.9013,0.8893,0.7256,0.7075,0.7682,0.843,0.9094,0.717,0.6772,0.4986,0.4647,Measure
2026/05/15 09:06:45,12,Pw1,1,2406,4220,4532,5480,6960,7274,6928,6325,5895,6521,7296,7663,7617,1.3502,0.9322,0.8863,0.8763,0.7138,0.6972,0.7585,0.8342,0.901,0.7093,0.6706,0.4916,0.4587,Measure
2026/05/15 09:06:45,11,Pw2,1,4331,7337,5674,4353,5046,4763,4441,4177,4052,5211,4666,7098,7857,1.3561,0.9376,0.8902,0.8792,0.7164,0.6995,0.7608,0.8362,0.903,0.7115,0.6723,0.4937,0.4607,Measure
2026/05/15 09:06:45,10,Pw3,1,1694,3585,1132,927,1342,1866,1750,1482,1302,1077,2255,589,1048,1.3685,0.9445,0.8957,0.8842,0.7209,0.703,0.7638,0.8388,0.9053,0.7133,0.6737,0.4953,0.4615,Measure
2026/05/15 09:06:45,9,Pw4,1,3168,5428,2915,1183,1242,971,967,888,760,898,1566,1450,2184,1.3618,0.9414,0.8935,0.8815,0.7182,0.7007,0.7618,0.8369,0.9035,0.7113,0.6717,0.4934,0.4598,Measure
2026/05/15 09:06:45,8,Pw5,1,4662,7635,5394,3507,3655,2835,2414,2201,2059,2676,1517,3884,4648,1.3523,0.9336,0.8864,0.8754,0.7127,0.6957,0.7568,0.8321,0.899,0.7073,0.6681,0.4898,0.4563,Measure
2026/05/15 09:06:45,7,Pw6,1,4773,10089,8374,7276,9088,8681,8183,7380,6973,9847,8147,13920,15892,1.3658,0.9434,0.8947,0.8832,0.7203,0.7027,0.7636,0.8388,0.9054,0.7139,0.6744,0.4965,0.4629,Measure
2026/05/15 09:06:45,6,Pw7,1,3898,6925,4569,2779,2795,1884,1614,1392,1453,1928,895,2887,3661,1.3577,0.9379,0.8902,0.8787,0.7157,0.6984,0.7595,0.8347,0.9014,0.7095,0.6702,0.4918,0.4582,Measure
2026/05/15 09:06:54,13,Pw1,1,2269,5012,3208,2143,2564,2648,2531,2374,2150,3099,2869,4388,4993,1.3626,0.9433,0.8961,0.8849,0.7219,0.7046,0.7656,0.8408,0.9074,0.7151,0.6759,0.4967,0.4634,Measure
2026/05/15 09:06:54,12,Pw2,1,7239,12995,11859,10689,12636,12527,11690,10770,10133,13080,12607,17376,18562,1.3513,0.9338,0.8882,0.8784,0.716,0.6996,0.7609,0.8364,0.9032,0.7115,0.6728,0.4937,0.4608,Measure
2026/05/15 09:06:54,11,Pw3,1,2440,4704,2416,966,971,545,421,471,549,1141,288,2299,3080,1.3536,0.9349,0.8873,0.8761,0.7133,0.6963,0.7575,0.8329,0.8997,0.708,0.6687,0.4905,0.457,Measure
2026/05/15 09:06:54,10,Pw4,1,1921,3635,1145,947,1414,1957,1793,1636,1329,1060,2269,610,897,1.369,0.9449,0.8959,0.8843,0.721,0.7031,0.7639,0.8389,0.9055,0.7133,0.6738,0.4954,0.4616,Measure
2026/05/15 09:06:54,9,Pw5,1,3288,5553,3046,1300,1274,997,906,903,726,909,1409,1533,2194,1.3618,0.9415,0.8935,0.8815,0.7183,0.7008,0.7618,0.837,0.9035,0.7113,0.6718,0.4934,0.4598,Measure
2026/05/15 09:06:54,8,Pw6,1,4585,7778,5348,3526,3738,2890,2535,2196,2089,2808,1515,4028,4776,1.3523,0.9337,0.8865,0.8755,0.7128,0.6958,0.7569,0.8322,0.8991,0.7074,0.6682,0.49,0.4564,Measure
2026/05/15 09:06:54,7,Pw7,1,4591,9770,8196,7352,9170,8827,8204,7480,7146,10040,8318,14199,16030,1.3656,0.9434,0.8947,0.8832,0.7202,0.7026,0.7637,0.8388,0.9054,0.7139,0.6744,0.4964,0.4629,Measure
2026/05/15 09:07:03,14,Pw1,1,1278,1391,2206,4005,5600,7043,6766,6443,6111,7198,8962,8644,8408,1.3591,0.9384,0.8917,0.882,0.7195,0.7025,0.7636,0.8391,0.906,0.7145,0.6757,0.4968,0.4637,Measure
2026/05/15 09:07:03,13,Pw2,1,1698,4250,3349,3589,4491,4643,4381,4046,3792,4510,4975,5864,6098,1.3621,0.9424,0.8952,0.8839,0.7208,0.7035,0.7645,0.8396,0.9062,0.7139,0.6746,0.4954,0.4621,Measure
2026/05/15 09:07:03,12,Pw3,1,3970,6728,4185,2204,2170,1570,1373,1193,1143,1878,692,3005,3847,1.3481,0.9301,0.8843,0.8744,0.7119,0.6953,0.7566,0.8321,0.8989,0.7071,0.6682,0.4895,0.4561,Measure
2026/05/15 09:07:03,11,Pw4,1,2555,4634,2396,976,1043,564,526,519,660,1113,346,2245,2967,1.3541,0.9352,0.8876,0.8764,0.7136,0.6966,0.7578,0.8331,0.9,0.7083,0.6689,0.4908,0.4573,Measure
